iso_code,lastdate,location,total_cases,total_deaths,total_cases_pm,total_deaths_pm,population,pop_density,median_age,gdp_per_capita,hosp_beds
AFG,2020-06-01,Afghanistan,15205,257,390.589,6.602,38928341.0,54.422,18.6,1803.987,0.5
ALB,2020-06-01,Albania,1137,33,395.093,11.467,2877800.0,104.871,38.0,11803.431,2.89
DZA,2020-06-01,Algeria,9394,653,214.225,14.891,43851043.0,17.348,29.1,13913.839,1.9
AND,2020-06-01,Andorra,764,51,9888.048,660.066,77265.0,163.755,,,
AGO,2020-06-01,Angola,86,4,2.617,0.122,32866268.0,23.89,16.8,5819.495,
AIA,2020-06-01,Anguilla,3,0,199.973,0.0,15002.0,,,,
ATG,2020-06-01,Antigua and Barbuda,25,3,255.29,30.635,97928.0,231.845,32.1,21490.943,3.8
ARG,2020-06-01,Argentina,16838,539,372.557,11.926,45195777.0,16.177,31.9,18933.907,5.0
ARM,2020-06-01,Armenia,9282,131,3132.388,44.208,2963234.0,102.931,35.7,8787.58,4.2
ABW,2020-06-01,Aruba,101,3,945.994,28.099,106766.0,584.8,41.2,35973.781,
AUS,2020-06-01,Australia,7195,103,282.158,4.039,25499881.0,3.202,37.9,44648.71,3.84
AUT,2020-06-01,Austria,16642,668,1847.797,74.169,9006400.0,106.749,44.4,45436.686,7.37
AZE,2020-06-01,Azerbaijan,5494,63,541.859,6.214,10139175.0,119.309,32.4,15847.419,4.7
BHS,2020-06-01,Bahamas,102,11,259.378,27.972,393248.0,39.497,34.3,27717.847,2.9
BHR,2020-06-01,Bahrain,11398,19,6698.468,11.166,1701583.0,1935.907,32.4,43290.705,2.0
BGD,2020-06-01,Bangladesh,47153,650,286.315,3.947,164689383.0,1265.036,27.5,3523.984,0.8
BRB,2020-06-01,Barbados,92,7,320.144,24.359,287371.0,664.463,39.8,16978.068,5.8
BLR,2020-06-01,Belarus,42556,235,4503.604,24.87,9449321.0,46.858,40.3,17167.967,11.0
BEL,2020-06-01,Belgium,58381,9467,5037.354,816.852,11589616.0,375.564,41.8,42658.576,5.64
BLZ,2020-06-01,Belize,18,2,45.269,5.03,397621.0,16.426,25.0,7824.362,1.3
BEN,2020-06-01,Benin,232,3,19.137,0.247,12123198.0,99.11,18.8,2064.236,0.5
BMU,2020-06-01,Bermuda,140,9,2248.165,144.525,62273.0,1308.82,,50669.315,
BTN,2020-06-01,Bhutan,43,0,55.727,0.0,771612.0,21.188,28.6,8708.597,1.7
BOL,2020-06-01,Bolivia,9982,313,855.134,26.814,11673029.0,10.202,25.4,6885.829,1.1
BES,2020-06-01,Bonaire Sint Eustatius and Saba,7,0,266.962,0.0,26221.0,,,,
BIH,2020-06-01,Bosnia and Herzegovina,2509,153,764.749,46.635,3280815.0,68.496,42.5,11713.895,3.5
BWA,2020-06-01,Botswana,38,1,16.159,0.425,2351625.0,4.044,25.8,15807.374,1.8
BRA,2020-06-01,Brazil,514849,29314,2422.142,137.91,212559409.0,25.04,33.5,14103.452,2.2
VGB,2020-06-01,British Virgin Islands,8,1,264.577,33.072,30237.0,207.973,,,
BRN,2020-06-01,Brunei,141,2,322.298,4.572,437483.0,81.347,32.4,71809.251,2.7
BGR,2020-06-01,Bulgaria,2513,140,361.664,20.148,6948445.0,65.18,44.7,18563.307,7.454
BFA,2020-06-01,Burkina Faso,881,53,42.146,2.535,20903278.0,70.151,17.6,1703.102,0.4
BDI,2020-06-01,Burundi,63,1,5.298,0.084,11890781.0,423.062,17.5,702.225,0.8
KHM,2020-06-01,Cambodia,125,0,7.477,0.0,16718971.0,90.672,25.6,3645.07,0.8
CMR,2020-06-01,Cameroon,5904,191,222.408,7.195,26545864.0,50.885,18.8,3364.926,1.3
CAN,2020-06-01,Canada,90936,7295,2409.401,193.285,37742157.0,4.037,41.4,44017.591,2.5
CPV,2020-06-01,Cape Verde,435,4,782.391,7.194,555988.0,135.58,25.7,6222.554,2.1
CYM,2020-06-01,Cayman Islands,141,1,2145.466,15.216,65720.0,256.496,,49903.029,
CAF,2020-06-01,Central African Republic,1011,2,209.327,0.414,4829764.0,7.479,18.3,661.24,1.0
TCD,2020-06-01,Chad,778,65,47.364,3.957,16425859.0,11.833,16.7,1768.153,
CHL,2020-06-01,Chile,99688,1054,5214.841,55.136,19116209.0,24.282,35.4,22767.037,2.11
CHN,2020-06-01,China,84147,4638,58.463,3.222,1439323774.0,147.674,38.7,15308.712,4.34
COL,2020-06-01,Colombia,29383,939,577.463,18.454,50882884.0,44.223,32.2,13254.949,1.71
COM,2020-06-01,Comoros,106,2,121.896,2.3,869595.0,437.352,20.4,1413.89,2.2
COG,2020-06-01,Congo,611,20,110.727,3.624,5518092.0,15.405,19.0,4881.406,
CRI,2020-06-01,Costa Rica,1056,10,207.298,1.963,5094114.0,96.079,33.6,15524.995,1.13
CIV,2020-06-01,Cote d'Ivoire,2833,33,107.399,1.251,26378275.0,76.399,18.7,3601.006,
HRV,2020-06-01,Croatia,2246,103,547.102,25.09,4105268.0,73.726,44.0,22669.797,5.54
CUB,2020-06-01,Cuba,2045,83,180.548,7.328,11326616.0,110.408,43.1,,5.2
CUW,2020-06-01,Curacao,19,1,115.783,6.094,164100.0,362.644,41.7,,
CYP,2020-06-01,Cyprus,944,17,1077.75,19.409,875899.0,127.657,37.3,32415.132,3.4
CZE,2020-06-01,Czech Republic,9273,320,865.909,29.881,10708982.0,137.176,43.3,32605.906,6.63
COD,2020-06-01,Democratic Republic of Congo,3049,71,34.044,0.793,89561404.0,35.879,17.0,808.133,
DNK,2020-06-01,Denmark,11669,574,2014.605,99.099,5792203.0,136.52,42.3,46682.515,2.5
DJI,2020-06-01,Djibouti,3354,24,3394.73,24.291,988002.0,41.285,25.4,2705.406,1.4
DMA,2020-06-01,Dominica,16,0,222.25,0.0,71991.0,98.567,,9673.367,3.8
DOM,2020-06-01,Dominican Republic,17285,502,1593.395,46.276,10847904.0,222.873,27.6,14600.861,1.6
ECU,2020-06-01,Ecuador,39098,3358,2216.055,190.33,17643060.0,66.939,28.1,10581.936,1.5
EGY,2020-06-01,Egypt,24985,959,244.151,9.371,102334403.0,97.999,25.3,10550.206,1.6
SLV,2020-06-01,El Salvador,2517,46,388.055,7.092,6486201.0,307.811,27.6,7292.458,1.3
GNQ,2020-06-01,Equatorial Guinea,1306,12,930.872,8.553,1402985.0,45.194,22.4,22604.873,2.1
ERI,2020-06-01,Eritrea,39,0,10.997,0.0,3546427.0,44.304,19.3,1510.459,0.7
EST,2020-06-01,Estonia,1869,68,1408.93,51.261,1326539.0,31.033,42.7,29481.252,4.69
ETH,2020-06-01,Ethiopia,1172,11,10.195,0.096,114963583.0,104.957,19.8,1729.927,0.3
FRO,2020-06-01,Faeroe Islands,187,0,3826.87,0.0,48865.0,35.308,,,
FLK,2020-06-01,Falkland Islands,13,0,3732.415,0.0,3483.0,,,,
FJI,2020-06-01,Fiji,18,0,20.079,0.0,896444.0,49.562,28.6,8702.975,2.3
FIN,2020-06-01,Finland,6859,320,1237.926,57.754,5540718.0,18.136,42.8,40585.721,3.28
FRA,2020-06-01,France,151753,28802,2324.879,441.251,65273512.0,122.578,42.0,38605.671,5.98
PYF,2020-06-01,French Polynesia,60,0,213.596,0.0,280904.0,77.324,32.7,,
GAB,2020-06-01,Gabon,2655,17,1192.868,7.638,2225728.0,7.859,23.1,16562.413,6.3
GMB,2020-06-01,Gambia,25,1,10.345,0.414,2416664.0,207.566,17.5,1561.767,1.1
GEO,2020-06-01,Georgia,783,12,196.281,3.008,3989175.0,65.032,38.7,9745.079,2.6
DEU,2020-06-01,Germany,181815,8511,2170.046,101.583,83783945.0,237.016,46.6,45229.245,8.0
GHA,2020-06-01,Ghana,8070,36,259.711,1.159,31072945.0,126.719,21.1,4227.63,0.9
GIB,2020-06-01,Gibraltar,169,0,5016.176,0.0,33691.0,3457.1,,,
GRC,2020-06-01,Greece,2917,175,279.86,16.79,10423056.0,83.479,45.3,24574.382,4.21
GRL,2020-06-01,Greenland,13,0,228.986,0.0,56772.0,0.137,,,
GRD,2020-06-01,Grenada,23,0,204.41,0.0,112519.0,317.132,29.4,13593.877,3.7
GUM,2020-06-01,Guam,175,5,1036.834,29.624,168783.0,304.128,31.4,,
GTM,2020-06-01,Guatemala,5087,108,283.943,6.028,17915567.0,157.834,22.9,7423.808,0.6
GGY,2020-06-01,Guernsey,252,13,3758.277,193.879,67052.0,,,,
GIN,2020-06-01,Guinea,3771,23,287.144,1.751,13132792.0,51.755,19.0,1998.926,0.3
GNB,2020-06-01,Guinea-Bissau,1322,8,671.749,4.065,1967998.0,66.191,19.4,1548.675,
GUY,2020-06-01,Guyana,153,12,194.518,15.256,786559.0,3.952,26.3,7435.047,1.6
HTI,2020-06-01,Haiti,2124,44,186.274,3.859,11402533.0,398.448,24.3,1653.173,0.7
HND,2020-06-01,Honduras,5202,212,525.21,21.404,9904608.0,82.805,24.9,4541.795,0.7
HKG,2020-05-26,Hong Kong,0,0,0.0,0.0,7496988.0,7039.714,44.8,56054.92,
HUN,2020-06-01,Hungary,3876,526,401.228,54.449,9660350.0,108.043,43.4,26777.561,7.02
ISL,2020-06-01,Iceland,1806,10,5292.308,29.304,341250.0,3.404,37.3,46482.958,2.91
IND,2020-06-01,India,190535,5394,138.068,3.909,1380004385.0,450.419,28.2,6426.674,0.53
IDN,2020-06-01,Indonesia,26473,1613,96.785,5.897,273523621.0,145.725,29.3,11188.744,1.04
IRN,2020-06-01,Iran,151466,7797,1803.318,92.829,83992953.0,49.831,32.4,19082.62,1.5
IRQ,2020-06-01,Iraq,6439,205,160.085,5.097,40222503.0,88.125,20.0,15663.986,1.4
IRL,2020-06-01,Ireland,24990,1652,5060.962,334.562,4937796.0,69.874,38.7,67335.293,2.96
IMN,2020-06-01,Isle of Man,336,24,3951.454,282.247,85032.0,147.872,,,
ISR,2020-06-01,Israel,17071,285,1972.263,32.927,8655541.0,402.606,30.6,33132.32,2.99
ITA,2020-06-01,Italy,233019,33415,3853.985,552.663,60461828.0,205.859,47.9,35220.084,3.18
JAM,2020-06-01,Jamaica,586,9,197.895,3.039,2961161.0,266.879,31.4,8193.571,1.7
JPN,2020-06-01,Japan,16884,892,133.495,7.053,126476458.0,347.778,48.2,39002.223,13.05
JEY,2020-06-01,Jersey,308,29,3047.302,286.921,101073.0,,,,
JOR,2020-06-01,Jordan,739,9,72.429,0.882,10203140.0,109.285,23.2,8337.49,1.4
KAZ,2020-06-01,Kazakhstan,11308,41,602.236,2.184,18776707.0,6.681,30.6,24055.588,6.7
KEN,2020-06-01,Kenya,1962,64,36.488,1.19,53771300.0,87.324,20.0,2993.028,1.4
XKX,2020-06-01,Kosovo,1064,30,550.504,15.522,1932774.0,,,,
KWT,2020-06-01,Kuwait,27043,212,6332.42,49.642,4270563.0,232.128,33.7,65530.537,2.0
KGZ,2020-06-01,Kyrgyzstan,1817,16,278.502,2.452,6524191.0,32.333,26.3,3393.474,4.5
LAO,2020-06-01,Laos,19,0,2.611,0.0,7275556.0,29.715,24.4,6397.36,1.5
LVA,2020-06-01,Latvia,1066,24,565.157,12.724,1886202.0,31.212,43.9,25063.846,5.57
LBN,2020-06-01,Lebanon,1220,27,178.743,3.956,6825442.0,594.561,31.1,13367.565,2.9
LSO,2020-06-01,Lesotho,2,0,0.934,0.0,2142252.0,73.562,22.2,2851.153,
LBR,2020-06-01,Liberia,288,27,56.943,5.338,5057677.0,49.127,19.2,752.788,0.8
LBY,2020-06-01,Libya,156,5,22.703,0.728,6871287.0,3.623,29.0,17881.509,3.7
LIE,2020-06-01,Liechtenstein,83,1,2176.364,26.221,38137.0,237.012,,,2.397
LTU,2020-06-01,Lithuania,1675,70,615.291,25.714,2722291.0,45.135,43.5,29524.265,6.56
LUX,2020-06-01,Luxembourg,4018,110,6418.776,175.726,625976.0,231.447,39.7,94277.965,4.51
MKD,2020-06-01,Macedonia,2226,133,1068.456,63.839,2083380.0,82.6,39.1,13111.214,4.28
MDG,2020-06-01,Madagascar,771,6,27.843,0.217,27691019.0,43.951,19.6,1416.44,0.2
MWI,2020-06-01,Malawi,284,4,14.846,0.209,19129955.0,197.519,18.1,1095.042,1.3
MYS,2020-06-01,Malaysia,7819,115,241.581,3.553,32365998.0,96.254,29.9,26808.164,1.9
MDV,2020-06-01,Maldives,1773,5,3280.041,9.25,540542.0,1454.433,30.6,15183.616,
MLI,2020-06-01,Mali,1265,77,62.467,3.802,20250834.0,15.196,16.4,2014.306,0.1
MLT,2020-06-01,Malta,616,7,1395.12,15.854,441539.0,1454.037,42.4,36513.323,4.485
MRT,2020-06-01,Mauritania,530,23,113.987,4.947,4649660.0,4.289,20.3,3597.633,
MUS,2020-06-01,Mauritius,335,10,263.413,7.863,1271767.0,622.962,37.4,20292.745,3.4
MEX,2020-06-01,Mexico,90664,9930,703.188,77.017,128932753.0,66.444,29.3,17336.469,1.38
MDA,2020-06-01,Moldova,8251,295,2045.383,73.129,4033963.0,123.655,37.6,5189.972,5.8
MCO,2020-06-01,Monaco,99,5,2522.679,127.408,39244.0,19347.5,,,13.8
MNG,2020-06-01,Mongolia,185,0,56.432,0.0,3278292.0,1.98,28.6,11840.846,7.0
MNE,2020-06-01,Montenegro,324,9,515.873,14.33,628062.0,46.28,39.1,16409.288,3.861
MSR,2020-06-01,Montserrat,11,1,2200.44,200.04,4999.0,,,,
MAR,2020-06-01,Morocco,7807,205,211.511,5.554,36910558.0,80.08,29.6,7485.013,1.1
MOZ,2020-06-01,Mozambique,254,2,8.127,0.064,31255435.0,37.728,17.7,1136.103,0.7
MMR,2020-06-01,Myanmar,228,6,4.19,0.11,54409794.0,81.721,29.1,5591.597,0.9
NAM,2020-06-01,Namibia,24,0,9.445,0.0,2540916.0,3.078,22.0,9541.808,
NPL,2020-06-01,Nepal,1572,8,53.952,0.275,29136808.0,204.43,25.0,2442.804,0.3
NLD,2020-06-01,Netherlands,46442,5956,2710.379,347.595,17134873.0,508.544,43.2,48472.545,3.32
NCL,2020-06-01,New Caledonia,19,0,66.552,0.0,285491.0,15.342,33.4,,
NZL,2020-06-01,New Zealand,1154,22,239.308,4.562,4822233.0,18.206,37.9,36085.843,2.61
NIC,2020-06-01,Nicaragua,759,35,114.574,5.283,6624554.0,51.667,27.3,5321.444,0.9
NER,2020-06-01,Niger,958,64,39.576,2.644,24206636.0,16.955,15.1,926.0,0.3
NGA,2020-06-01,Nigeria,10162,287,49.297,1.392,206139587.0,209.588,18.1,5338.454,
MNP,2020-06-01,Northern Mariana Islands,22,2,382.23,34.748,57557.0,119.878,,,
NOR,2020-06-01,Norway,8411,236,1551.489,43.532,5421242.0,14.462,39.7,64800.057,3.6
OMN,2020-06-01,Oman,11437,47,2239.641,9.204,5106622.0,14.98,30.7,37960.709,1.6
PAK,2020-06-01,Pakistan,72460,1543,328.033,6.985,220892331.0,255.573,23.5,5034.708,0.6
PSE,2020-06-01,Palestine,627,5,122.907,0.98,5101416.0,778.202,20.4,4449.898,
PAN,2020-06-01,Panama,13463,336,3120.214,77.872,4314768.0,55.133,29.7,22267.037,2.3
PNG,2020-06-01,Papua New Guinea,8,0,0.894,0.0,8947027.0,18.22,22.6,3823.194,
PRY,2020-06-01,Paraguay,986,11,138.24,1.542,7132530.0,17.144,26.5,8827.01,1.3
PER,2020-06-01,Peru,164476,4506,4988.377,136.662,32971846.0,25.129,29.1,12236.706,1.6
PHL,2020-06-01,Philippines,18086,957,165.047,8.733,109581085.0,351.873,25.2,7599.188,1.0
POL,2020-06-01,Poland,23786,1064,628.484,28.113,37846605.0,124.027,41.8,27216.445,6.62
PRT,2020-06-01,Portugal,32500,1410,3187.304,138.28,10196707.0,112.371,46.2,27936.896,3.39
PRI,2020-06-01,Puerto Rico,3776,136,1319.892,47.538,2860840.0,376.232,38.2,35044.67,
QAT,2020-06-01,Qatar,56910,38,19753.146,13.19,2881060.0,227.322,31.9,116935.6,1.2
ROU,2020-06-01,Romania,19257,1262,1001.004,65.6,19237682.0,85.129,43.0,23313.199,6.892
RUS,2020-06-01,Russia,405843,4693,2780.995,32.158,145934460.0,8.823,39.6,24765.954,8.05
RWA,2020-06-01,Rwanda,370,1,28.567,0.077,12952209.0,494.869,20.3,1854.211,
KNA,2020-06-01,Saint Kitts and Nevis,15,0,281.997,0.0,53192.0,212.865,,24654.385,2.3
LCA,2020-06-01,Saint Lucia,18,0,98.024,0.0,183629.0,293.187,34.9,12951.839,1.3
VCT,2020-06-01,Saint Vincent and the Grenadines,26,0,234.346,0.0,110947.0,281.787,31.8,10727.146,2.6
SMR,2020-06-01,San Marino,671,42,19771.348,1237.551,33938.0,556.667,,56861.47,3.8
STP,2020-06-01,Sao Tome and Principe,483,12,2203.859,54.754,219161.0,212.841,18.7,3052.714,2.9
SAU,2020-06-01,Saudi Arabia,85261,503,2449.053,14.448,34813867.0,15.322,31.9,49045.411,2.7
SEN,2020-06-01,Senegal,3645,42,217.691,2.508,16743930.0,82.328,18.7,2470.58,
SRB,2020-06-01,Serbia,11412,243,1677.102,35.711,6804596.0,80.291,41.2,14048.881,5.609
SYC,2020-06-01,Seychelles,11,0,111.857,0.0,98340.0,208.354,36.2,26382.287,3.6
SLE,2020-06-01,Sierra Leone,861,46,107.936,5.767,7976985.0,104.7,19.1,1390.3,
SGP,2020-06-01,Singapore,34884,23,5962.727,3.931,5850343.0,7915.731,42.4,85535.383,2.4
SXM,2020-06-01,Sint Maarten (Dutch part),77,15,1795.625,349.797,42882.0,1209.088,,36327.232,
SVK,2020-06-01,Slovakia,1522,28,278.773,5.129,5459643.0,113.128,41.2,30155.152,5.82
SVN,2020-06-01,Slovenia,1473,108,708.537,51.95,2078932.0,102.619,44.5,31400.84,4.5
SOM,2020-06-01,Somalia,1976,78,124.33,4.908,15893219.0,23.5,16.8,,0.9
ZAF,2020-06-01,South Africa,32683,683,551.066,11.516,59308690.0,46.754,27.3,12294.876,2.32
KOR,2020-06-01,South Korea,11503,271,224.365,5.286,51269183.0,527.967,43.4,35938.374,12.27
SSD,2020-06-01,South Sudan,994,10,88.8,0.893,11193729.0,,19.2,1569.888,
ESP,2020-05-31,Spain,239429,27127,5120.952,580.197,46754783.0,93.105,45.5,34272.36,2.97
LKA,2020-06-01,Sri Lanka,1633,10,76.261,0.467,21413250.0,341.955,34.1,11669.077,3.6
SDN,2020-06-01,Sudan,5026,286,114.62,6.522,43849269.0,23.258,19.7,4466.507,0.8
SUR,2020-06-01,Suriname,23,1,39.207,1.705,586634.0,3.612,29.6,13767.119,3.1
SWZ,2020-06-01,Swaziland,285,2,245.655,1.724,1160164.0,79.492,21.5,7738.975,2.1
SWE,2020-06-01,Sweden,37542,4395,3717.298,435.18,10099270.0,24.718,41.0,46949.283,2.22
CHE,2020-06-01,Switzerland,30779,1656,3556.367,191.343,8654618.0,214.243,43.1,57410.166,4.53
SYR,2020-06-01,Syria,122,4,6.971,0.229,17500657.0,,21.7,,1.5
TWN,2020-06-01,Taiwan,442,7,18.558,0.294,23816775.0,,42.2,,
TJK,2020-06-01,Tajikistan,3807,47,399.155,4.928,9537642.0,64.281,23.3,2896.913,4.8
TZA,2020-06-01,Tanzania,509,21,8.521,0.352,59734213.0,64.699,17.7,2683.304,0.7
THA,2020-06-01,Thailand,3081,57,44.14,0.817,69799978.0,135.132,40.1,16277.671,2.1
TLS,2020-06-01,Timor,24,0,18.203,0.0,1318442.0,87.176,18.0,6570.102,5.9
TGO,2020-06-01,Togo,442,13,53.39,1.57,8278737.0,143.366,19.4,1429.813,0.7
TTO,2020-06-01,Trinidad and Tobago,117,8,83.602,5.716,1399491.0,266.886,36.2,28763.071,3.0
TUN,2020-06-01,Tunisia,1077,48,91.127,4.061,11818618.0,74.228,32.7,10849.297,2.3
TUR,2020-06-01,Turkey,163942,4540,1943.844,53.83,84339067.0,104.914,31.6,25129.341,2.81
TCA,2020-06-01,Turks and Caicos Islands,12,1,309.933,25.828,38718.0,37.312,,,
UGA,2020-06-01,Uganda,458,0,10.013,0.0,45741000.0,213.759,16.4,1697.707,0.5
UKR,2020-06-01,Ukraine,23672,708,541.275,16.189,43733759.0,77.39,41.4,7894.393,8.8
ARE,2020-06-01,United Arab Emirates,34557,264,3493.994,26.693,9890400.0,112.442,34.0,67293.483,1.2
GBR,2020-06-01,United Kingdom,274762,38489,4047.403,566.965,67886004.0,272.898,40.8,39753.244,2.54
USA,2020-06-01,United States,1790191,104383,5408.389,315.354,331002647.0,35.608,38.3,54225.446,2.77
VIR,2020-06-01,United States Virgin Islands,69,6,660.774,57.459,104423.0,306.48,42.2,,
URY,2020-06-01,Uruguay,823,22,236.921,6.333,3473727.0,19.751,35.6,20551.409,2.8
UZB,2020-06-01,Uzbekistan,3662,15,109.414,0.448,33469199.0,76.134,28.2,6253.104,4.0
VAT,2020-06-01,Vatican,12,0,14833.127,0.0,809.0,,,,
VEN,2020-06-01,Venezuela,1510,14,53.102,0.492,28435943.0,36.253,29.0,16745.022,0.8
VNM,2020-06-01,Vietnam,328,0,3.37,0.0,97338583.0,308.127,32.6,6171.884,2.6
ESH,2020-06-01,Western Sahara,23,1,38.505,1.674,597330.0,,28.4,,
YEM,2020-06-01,Yemen,323,80,10.829,2.682,29825968.0,53.508,20.3,1479.147,0.7
ZMB,2020-06-01,Zambia,1057,7,57.496,0.381,18383956.0,22.995,17.7,3689.251,2.0
ZWE,2020-06-01,Zimbabwe,178,4,11.976,0.269,14862927.0,42.729,19.6,1899.775,1.7
