id,creator,title,birth_year,death_year,collection,type,creation_date
147479,"Jean François de Troy (French, 1679-1752)",Pan and Syrinx,1679,1752,P - French 18th Century,Painting,1720
144965,"Painter of Berlin 1899 (Greek, Attic)","Black-Figure Neck-Amphora (Storage Vessel): Herakles and Nemean Lion (A); Dionysos, Satyrs, and Maenads (B)",,,GR - Greek,Ceramic,515-510  BC
124040,"Winslow Homer (American, 1836-1910)",The Brierwood Pipe,1836,1910,American - Painting,Painting,1864
123424,"Grinling Gibbons (British, 1648-1721)",Overmantel Decoration,1648,1721,Sculpture,Sculpture,c. 1675-1677
152003,"Chelsea Porcelain Factory (Britain, London, 1745-84)",Hen and Chicks Covered Tureen on Stand,,,Decorative Arts,Ceramic,c. 1755
138023,Master of the Boqueteaux (French),The Gotha Missal,,1380,MED - Manuscript Illuminations,Bound Volume,c. 1375
138023,Workshop,The Gotha Missal,,,MED - Manuscript Illuminations,Bound Volume,c. 1375
141168,"Gustave Courbet (French, 1819-1877)","Panoramic View of the Alps, Les Dents du Midi",1819,1877,Mod Euro - Painting 1800-1960,Painting,1877
144613,"Joan Mitchell (American, 1925-1992)",Metro,1925,1992,American - Painting,Painting,1958
123431,"Jean-Honoré Fragonard (French, 1732-1806)",Invocation to Love,1732,1806,DR - French,Drawing,c. 1781
135310,"Vincent van Gogh (Dutch, 1853-1890)",Two Poplars in the Alpilles near Saint-Rémy,1853,1890,Mod Euro - Painting 1800-1960,Painting,1889
136509,"Abraham van Beyeren (Dutch, 1620/21-1690)","Silver Wine Jug, Ham, and Fruit",1620/21,1690,P - Netherlandish-Dutch,Painting,c. 1660-66
140089,"Willem de Kooning (American, 1904-1997)",Figure,1904,1997,American - Painting,Painting,1949
122345,"Meindert Hobbema (Dutch, 1638-1709)",A Cottage in the Woods,1638,1709,P - Netherlandish-Dutch,Painting,c. 1662
141476,"Jacques André Joseph Aved (French, 1702-1766)",Portrait of Jean-Gabriel du Theil at the Signing of the Treaty of Vienna,1702,1766,P - French 18th Century,Painting,1738-1740
135336,"Edouard Manet (French, 1832-1883)",Berthe Morisot,1832,1883,Mod Euro - Painting 1800-1960,Painting,c. 1869-73
96263,"Thomas Sully (American, 1783-1872)",Portrait of Jean Terford David,1783,1872,American - Painting,Painting,1813
152588,"Otto Dix (German, 1891-1969)",Josef May,1891,1969,Mod Euro - Painting 1800-1960,Painting,1926
145999,"Thomas Gainsborough (British, 1727-1788)","Portrait of George Pitt, First Baron Rivers",1727,1788,P - British before 1800,Painting,1769
150156,"Carlo Bugatti (Italian, 1856-1940)",Tea and Coffee Service,1856,1940,Decorative Arts,Silver,c. 1907
150156,"Adrien-Aurélien Hebrard (French, 1866-1937)",Tea and Coffee Service,1866,1937,Decorative Arts,Silver,c. 1907
93173,"Clara Wolcott Driscoll (American, 1861-1944)",Poppy Inkwell,1861,1944,Decorative Arts,Glass,c. 1898-1906
93173,"Tiffany Glass & Decorating Company (American, New York, 1892–1902)",Poppy Inkwell,,,Decorative Arts,Glass,c. 1898-1906
93173,"Tiffany Studios (American, New York, 1902–1932)",Poppy Inkwell,1902,1932,Decorative Arts,Glass,c. 1898-1906
135238,"Edgar Degas (French, 1834-1917)",Paul Lafond and Alphonse Cherfils Examining a Painting,1834,1917,Mod Euro - Painting 1800-1960,Painting,c. 1878-1880
150083,"James Tissot (French, 1836-1902)",Seaside (July: Specimen of a Portrait),1836,1902,Mod Euro - Painting 1800-1960,Painting,1878
169465,"Thomas Hope (British, 1769-1831)",Settee,1769,1831,Furniture,Wood,c. 1802-07
169465,Unknown Maker (British),Settee,,,Furniture,Wood,c. 1802-07
111702,"Antonio Canaletto (Italian, 1697-1768)",Capriccio: A Palace with a Courtyard by the Lagoon,1697,1768,DR - Italian,Drawing,c. 1750-1755
108544,"Odilon Redon (French, 1840-1916)",Orpheus,1840,1916,DR - French,Drawing,c. 1903-10
135515,"Henri de Toulouse-Lautrec (French, 1864-1901)",May Belfort,1864,1901,DR - French,Drawing,1895
92844,"Maurice Denis (French, 1870-1943)",Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,Painting,1899
162282,"Grant Wood (American, 1891-1942)",January,1891,1942,American - Painting,Painting,1940-1941
120870,"Pierre-Auguste Renoir (French, 1841-1919)",The Judgment of Paris,1841,1919,Mod Euro - Sculpture 1800-1960,Sculpture,1914
120870,"Ricard Guinó (Spanish, 1890-1973)",The Judgment of Paris,1890,1973,Mod Euro - Sculpture 1800-1960,Sculpture,1914
148966,"Jean-Charles Cazin (French, 1841-1901)",The Boatyard,1841,1901,Mod Euro - Painting 1800-1960,Painting,c. 1875
148963,"Albert Besnard (French, 1849-1934)",Madeleine Lerolle and Her Daughter Yvonne,1849,1934,Mod Euro - Painting 1800-1960,Painting,c. 1879-1880
144743,"Jean-Baptiste Oudry (French, 1686-1755)",A Hare and a Leg of Lamb,1686,1755,P - French 18th Century,Painting,1742
153603,"Maerten van Heemskerck (Dutch, 1498-1574)",Portrait of Machtelt Suijs,1498,1574,P - Netherlandish-Flemish,Painting,c. 1540-1545
95272,"Claude Monet (French, 1840-1926)",Gardener's House at Antibes,1840,1926,Mod Euro - Painting 1800-1960,Painting,1888
140139,"Ellsworth Kelly (American, 1923-2015)",Red Blue,1923,2015,CONTEMP - Painting,Painting,1962
150841,"Ernest Meissonier (French, 1815-1891)",A Painter,1815,1891,Mod Euro - Painting 1800-1960,Painting,1855
128363,"Charles François Daubigny (French, 1817-1878)",Villerville Seen from Le Ratier,1817,1878,Mod Euro - Painting 1800-1960,Painting,1855
170257,"John Townsend (American, 1732-1809)",Desk and Bookcase,1732,1809,Furniture,Furniture and woodwork,c. 1780–95
312995,"Emma Amos (American, 1937-2020)",Sandy and Her Husband,1937,2020,CONTEMP - Painting,Painting,1973
361517,"Ilse Bing (American, 1899-1998)",Self-Portrait with Mirrors,1899,1998,PH - American 1900-1950,Photograph,1931 (printed 1980s)
361519,"Ilse Bing (American, 1899-1998)",Champ de Mars from the Eiffel Tower,1899,1998,PH - American 1900-1950,Photograph,1931 (printed 1950s)
361520,"Ilse Bing (American, 1899-1998)",Salut de Schiaparelli,1899,1998,PH - American 1900-1950,Photograph,1934
371392,"Belkis Ayón (Cuban, 1967-1999)",I Always Return,1967,1999,PR - Collagraph,Print,"1993, printed 1994"
173114,"Constantin Brancusi (Romanian, 1876-1957)",Male Torso,1876,1957,Mod Euro - Sculpture 1800-1960,Sculpture,1917
143656,"Morris Louis (American, 1912-1962)",Number 99,1912,1962,American - Painting,Painting,1959-1960
134951,"Fra Bartolommeo (Italian, 1472-1517)",Farmhouse on the Slope of a Hill,1472,1517,DR - Italian,Drawing,c. 1508
152006,"Thomas Gainsborough (British, 1727-1788)","Rocky, Wooded Landscape with a Dell and Weir",1727,1788,P - British before 1800,Painting,c. 1782-1783
157501,"Annibale Carracci (Italian, c. 1560-1609)",Boy Drinking,c. 1560,1609,P - Italian 16th & 17th Century,Painting,1582-1583
128056,"Royal Savonnerie Manufactory, Chaillot Workshops (French, est. 1627)",Louis XV Savonnerie Carpet with Royal Arms,,1825,Textiles,Carpet,c. 1740–50
128056,Pierre Josse Perrot (French),Louis XV Savonnerie Carpet with Royal Arms,,,Textiles,Carpet,c. 1740–50
97996,"Longton Hall Porcelain Factory (British, Staffordshire, 1749–60)",Figure of Britannia,,,Decorative Arts,Ceramic,c. 1756
97996,"Vauxhall Porcelain Factory (British, 1751-1764)",Figure of Britannia,1751,1764,Decorative Arts,Ceramic,c. 1756
132648,Jacques Lipchitz,Mother and Child,,,Mod Euro - Sculpture 1800-1960,Sculpture,1929-1930
117766,"Giovanni Battista Piazzetta (Italian, 1682-1754)",A Young Woman Buying a Pink from a Young Man,1682,1754,DR - Italian,Drawing,c. 1740
140001,,Imperial Red Cross Easter Egg,,,Decorative Arts,Miscellaneous,1915
140001,"Peter Carl Fabergé (Russian, 1846-1920)",Imperial Red Cross Easter Egg,1846,1920,Decorative Arts,Miscellaneous,1915
140001,"Henrik Wigström (Russian, 1862-1923)",Imperial Red Cross Easter Egg,1862,1923,Decorative Arts,Miscellaneous,1915
140001,"House of Fabergé (Russian, 1842-1918)",Imperial Red Cross Easter Egg,1842,1918,Decorative Arts,Miscellaneous,1915
107008,"François Boucher (French, 1703-1770)",The Presentation in the Temple,1703,1770,DR - French,Drawing,c. 1770
162323,"Max Ernst (German, 1891-1976)",Le Déjeuner sur l'Herbre,1891,1976,Mod Euro - Painting 1800-1960,Painting,1944
112856,"Rogier van der Weyden (Flemish, c. 1399-1464)",The Crucifixion with a Carthusian Monk,c. 1399,1464,MED - Medieval Art,Painting,c. 1460
152776,"Pablo Picasso (Spanish, 1881-1973)","Bull Skull, Fruit, Pitcher",1881,1973,Mod Euro - Painting 1800-1960,Painting,1939
162288,"José Clemente Orozco (Mexican, 1883-1949)",Zapatistas,1883,1949,PR - Lithograph,Print,1935
162288,Delphic Studios,Zapatistas,,,PR - Lithograph,Print,1935
361505,"León Ferrari (Argentinian, 1920-2013)",Square,1920,2013,Prints,Print,1982 (signed 2008)
85239,"Joan Mitchell (American, 1925-1992)",Gouise,1925,1992,CONTEMP - Painting,Painting,1967
127115,"Paul Gauguin (French, 1848-1903)",Head of a Tahitian Woman,1848,1903,DR - French,Drawing,1891
143234,"Jacob van Ruisdael (Dutch, 1628/29-1682)","Landscape with a Windmill
",1628/29,1682,P - Netherlandish-Dutch,Painting,1646
131583,"Peter Paul Rubens (Flemish, 1577-1640)",The Feast of Herod (recto) Tomyris with the Head of Cyrus (verso),1577,1640,DR - Flemish,Drawing,c. 1637-38
135512,"Georges Seurat (French, 1859-1891)","Study for ""Bathers at Asnières""",1859,1891,Mod Euro - Painting 1800-1960,Painting,c. 1883-1884
156896,Bisenzio Class,Italo-Geometric Bird Askos (Oil Vessel): Hunter (Herakles?) and Stag,,,GR - Etruscan,Ceramic,c. 700 BC
163551,"Marsden Hartley (American, 1877-1943)",New Mexico Recollection,1877,1943,American - Painting,Painting,c. 1923
95259,"Eugène Delacroix (French, 1798-1863)",Greek Cavalry Men Resting in Forest,1798,1863,Mod Euro - Painting 1800-1960,Painting,1858
151969,"William Holman Hunt (British, 1827-1910)",Mrs. George Waugh,1827,1910,Mod Euro - Painting 1800-1960,Painting,1868
139729,"Jean Bernard Restout (French, 1732-1797)",Sleep,1732,1797,P - French 18th Century,Painting,c. 1771
153389,"Frederic Leighton (British, 1830-1896)","David:  ""Oh, that I had wings like a Dove!  For then would I fly away, and be at rest."" Psalm 55:6",1830,1896,Mod Euro - Painting 1800-1960,Painting,1865
154283,"Odilon Redon (French, 1840-1916)",Symbolic Head,1840,1916,Mod Euro - Painting 1800-1960,Painting,c. 1890
136390,"Federico Barocci (Italian, 1528-1612)",Aeneas Saving Anchises at the Fall of Troy,1528,1612,DR - Italian,Drawing,1587-88
150161,"Carlo Bugatti (Italian, 1856-1940)",Coffee Pot,1856,1940,Decorative Arts,Silver,c. 1907
150161,"Adrien-Aurélien Hebrard (French, 1866-1937)",Coffee Pot,1866,1937,Decorative Arts,Silver,c. 1907
149405,"Berlin Painter (Greek, Attic, active c. 505-460 BC)",Red-Figure Lekythos (Oil Vessel): Athena Slaying Giant (body); Satyr between Maenads (shoulder),-540,-445,GR - Greek,Ceramic,c. 490 BC
149405,"Painter of Goluchow 37 (Greek, Attic, active c. 490-460 BC)",Red-Figure Lekythos (Oil Vessel): Athena Slaying Giant (body); Satyr between Maenads (shoulder),-530,-450,GR - Greek,Ceramic,c. 490 BC
130421,"John Paul Miller (American, 1918-2013)",Necklace,1918,2013,Decorative Arts,Jewelry,1953
135931,"Tilman Riemenschneider (German, c. 1460-1531)",Saint Stephen,c. 1460,1531,MED - Gothic,Sculpture,1502-1508
150157,"Carlo Bugatti (Italian, 1856-1940)",Tray,1856,1940,Decorative Arts,Silver,c. 1907
150157,"Adrien-Aurélien Hebrard (French, 1866-1937)",Tray,1866,1937,Decorative Arts,Silver,c. 1907
150158,"Carlo Bugatti (Italian, 1856-1940)",Creamer,1856,1940,Decorative Arts,Silver,c. 1907
150158,"Adrien-Aurélien Hebrard (French, 1866-1937)",Creamer,1866,1937,Decorative Arts,Silver,c. 1907
150159,"Carlo Bugatti (Italian, 1856-1940)",Covered Sugar Bowl,1856,1940,Decorative Arts,Silver,c. 1907
150159,"Adrien-Aurélien Hebrard (French, 1866-1937)",Covered Sugar Bowl,1866,1937,Decorative Arts,Silver,c. 1907
162624,"Robert Gober (American, b. 1954)",Untitled,1954,,CONTEMP - Sculpture,Sculpture,1990
130937,"Bernardo Strozzi (Italian, 1581?-1644)",Allegorical Figure,1581?,1644,DR - Italian,Drawing,c. 1635
143140,"David Johnson (American, 1827-1908)","Study, North Conway, New Hampshire",1827,1908,American - Painting,Painting,1851
145960,"Hans Holbein (German, 1497/98-1543)","Terminus, the Device of Erasmus",1497/98,1543,P - German before 1800,Painting,c. 1532
113549,Guillaume Julien (French),Quatrilobed Plaque,,,MED - Gothic,Metalwork,c. 1300-1310
124078,"Jean Baptiste Camille Corot (French, 1796-1875)",Pond at Ville-d'Avray,1796,1875,Mod Euro - Painting 1800-1960,Painting,late 1860s
150160,"Carlo Bugatti (Italian, 1856-1940)",Tea Pot,1856,1940,Decorative Arts,Silver,c. 1907
150160,"Adrien-Aurélien Hebrard (French, 1866-1937)",Tea Pot,1866,1937,Decorative Arts,Silver,c. 1907
88940,"Georges Braque (French, 1882-1963)","The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,Painting,1906
101646,"Mary Cassatt (American, 1844-1926)",After the Bath,1844,1926,DR - American 19th Century,Drawing,1901
128072,"Berthe Morisot (French, 1841-1895)",Reading,1841,1895,Mod Euro - Painting 1800-1960,Painting,1873
102549,"Benedetto Buglioni (Italian, 1461-1521)",Virgin and Child Enthroned with Saints Francis and Giovanni Gualberto,1461,1521,Sculpture,Sculpture,c. 1510-1520
166195,"Gil de Siloé (Spanish, c. 1501)",Enthroned Virgin and Child,,c. 1501,MED - Medieval Art,Sculpture,c. 1480s
168194,"Pedro de Mena (Spanish, 1628-1688)",Saint Peter of Alcántara,1628,1688,Sculpture,Sculpture,c. 1663-1670
168194,Workshop,Saint Peter of Alcántara,,,Sculpture,Sculpture,c. 1663-1670
140427,Jean de Clichy (French),Kneeling Prophet from the Reliquary Chasse of Saint-Germain-des-Prés,,,MED - Gothic,Sculpture,1409
140427,Gauthier du Four (French),Kneeling Prophet from the Reliquary Chasse of Saint-Germain-des-Prés,,,MED - Gothic,Sculpture,1409
140427,Guillaume Boey (French),Kneeling Prophet from the Reliquary Chasse of Saint-Germain-des-Prés,,,MED - Gothic,Sculpture,1409
121946,"Peter Lely (British, 1618-1680)",Portrait of Mrs. Leneve,1618,1680,P - British before 1800,Painting,c. 1657
154803,"Ilse Bing (American, 1899-1998)","New York, the Elevated, and Me",1899,1998,PH - American 1900-1950,Photograph,1936
155647,"Ilse Bing (American, 1899-1998)","Paris Windows with Flags, Bastille Day",1899,1998,PH - American 1900-1950,Photograph,1933
135341,"Georges Seurat (French, 1859-1891)",Café-concert,1859,1891,DR - French,Drawing,1887-1888
294175,"Norman Lewis (American, 1909-1979)",Alabama,1909,1979,American - Painting,Painting,1960
129250,"Royal Savonnerie Manufactory, Chaillot Workshops (French, est. 1627)",Panel: Spring,,1825,Textiles,Carpet,c. 1715
143392,"Franz Kline (American, 1910-1962)",Accent Grave,1910,1962,American - Painting,Painting,1955
122344,"Gainsborough Dupont (British, 1754-1797)",Portrait of Mary Anne Jolliffe,1754,1797,P - British before 1800,Painting,after 1788
156113,"Carlo Bugatti (Italian, 1856-1940)",Salver,1856,1940,Decorative Arts,Silver,c. 1907
156113,"Adrien-Aurélien Hebrard (French, 1866-1937)",Salver,1866,1937,Decorative Arts,Silver,c. 1907
126219,"Albrecht Altdorfer (German, c. 1480-1538)",Salome with the Head of St. John the Baptist,c. 1480,1538,DR - German,Drawing,c. 1517
129221,"Henri de Toulouse-Lautrec (French, 1864-1901)",The Laundress,1864,1901,DR - French,Drawing,1888
144967,"Martin Johnson Heade (American, 1819-1904)","Point Judith, Rhode Island",1819,1904,American - Painting,Painting,1867–68
149408,"Joan Miró (Spanish, 1893-1983)",Nocturne,1893,1983,Mod Euro - Painting 1800-1960,Painting,1935
100824,"Auguste Rodin (French, 1840-1917)","Heroic Head of Pierre de Wissant, One of the Burghers of Calais",1840,1917,Mod Euro - Sculpture 1800-1960,Sculpture,1886
172659,"Edgar Degas (French, 1834-1917)",Dancer Looking at the Sole of her Right Foot,1834,1917,Mod Euro - Sculpture 1800-1960,Sculpture,1896-1897
143617,"Lee Bontecou (American, 1931-)",Untitled,1931,,CONTEMP - Sculpture,Sculpture,1961
162293,"Louise Bourgeois (American, 1911-2010)",Blind Man's Buff,1911,2010,CONTEMP - Sculpture,Sculpture,1984
162294,"Louise Bourgeois (American, 1911-2010)",Blind Man's Buff (base),1911,2010,CONTEMP - Sculpture,Sculpture,1984
150851,"Henri Fantin-Latour (French, 1836-1904)",Marie-Yolande de Fitz-James,1836,1904,Mod Euro - Painting 1800-1960,Painting,1867
156294,"Arthur Dove (American, 1880-1946)",Pine Tree,1880,1946,American - Painting,Painting,1931
151818,"Peter Flötner (German, 1485-1546)",Cupid Complaining to Venus,1485,1546,Sculpture,Sculpture,c. 1540-1546
136680,"Jusepe de Ribera (Spanish, 1591-1652)",Saint Jerome,1591,1652,P - Spanish before 1800,Painting,c. 1638-1640
134237,Carolino da Viterbo (Italian),Virgin and Child with Saint Jerome and Saint Catherine of Alexandria,,,MED - Medieval Art,Painting,c. 1450
166197,"Valerio Belli (Italian, c. 1468-1546)","Mars, Minerva, Venus, and Cupid",c. 1468,1546,Sculpture,Sculpture,early 1500s
169684,"Elisabeth Louise Vigée-LeBrun (French, 1755-1842)",Portrait of Jean-Baptiste Lemoyne the Younger,1755,1842,P - French 18th Century,Painting,1772
300947,"Heinrich Davringhausen (German, 1894-1970)",Der Krieg,1894,1970,Mod Euro - Painting 1800-1960,Painting,1914
131338,"Joseph Mallord William Turner (British, 1775-1851)","Flüelen, from the Lake of Lucerne",1775,1851,DR - British,Drawing,1845
141602,"Joan Miró (Spanish, 1893-1983)",Woman with Blond Armpit Combing Her Hair by the Light of the Stars  (recto)  Figure (verso),1893,1983,DR - Spanish,Drawing,1940
144844,"Rembrandt van Rijn (Dutch, 1606-1669)",Tobias Healing His Father's Blindness,1606,1669,DR - Dutch,Drawing,c. 1640-45
161701,"Viktor Schreckengost (American, 1906-2008)",The New Yorker (Jazz) Bowl,1906,2008,Decorative Arts,Ceramic,c. 1930
161701,"Cowan Pottery Studio (American, Ohio, Rocky River, 1912-1931)",The New Yorker (Jazz) Bowl,,,Decorative Arts,Ceramic,c. 1930
122223,"Giovanni di Paolo (Italian, c. 1403-1482)",The Adoration of the Magi,c. 1403,1482,MED - Medieval Art,Painting,1440-45
149769,"Frederick Sandys (British, 1829-1904)",Portrait of Susanna Rose,1829,1904,Mod Euro - Painting 1800-1960,Painting,1862
150115,"Jean-Siméon Chardin (French, 1699-1779)","Kitchen Utensils with Leeks, Fish, and Eggs",1699,1779,P - French 18th Century,Painting,c. 1734
149105,"Salvator Rosa (Italian, 1615-1673)",Scenes of Witchcraft: Morning,1615,1673,P - Italian 16th & 17th Century,Painting,c. 1645-1649
149107,"Salvator Rosa (Italian, 1615-1673)",Scenes of Witchcraft: Evening,1615,1673,P - Italian 16th & 17th Century,Painting,c. 1645-1649
149108,"Salvator Rosa (Italian, 1615-1673)",Scenes of Witchcraft: Night,1615,1673,P - Italian 16th & 17th Century,Painting,c. 1645-1649
153765,Ateu Atsa (Cameroonian),Male Figure,,,African Art,Sculpture,mid 1800s-early 1900s
95271,"Edgar Degas (French, 1834-1917)",Dancers,1834,1917,DR - French,Drawing,1896
94966,"John Singleton Copley (American, 1738-1815)",Catherine Greene,1738,1815,American - Painting,Painting,1769
142771,"Henrik Wigström (Russian, 1862-1923)",Clock,1862,1923,Decorative Arts,Timepiece,1908-17
142771,"House of Fabergé (Russian, 1842-1918)",Clock,1842,1918,Decorative Arts,Timepiece,1908-17
173965,"Edward Hopper (American, 1882-1967)",Lighthouse Village (also known as Cape Elizabeth),1882,1967,DR - American 20th Century,Drawing,1929
146977,Jacques Lipchitz,Detachable Figure (Dancer),,,Mod Euro - Sculpture 1800-1960,Sculpture,1915
93234,"Maurice Prendergast (American, 1858-1924)","On the Beach, No. 3",1858,1924,American - Painting,Painting,c. 1915-18
173111,"Charles Burchfield (American, 1893-1967)",White Violets and Coal Mine,1893,1967,DR - American 20th Century,Drawing,1918
162336,"Martin Puryear (American, b. 1941)",Alien Huddle,1941,,CONTEMP - Sculpture,Sculpture,1993–95
144968,"Sanford Robinson Gifford (American, 1823-1880)",A Home in the Wilderness,1823,1880,American - Painting,Painting,1866
173641,"William Adolphe Bouguereau (French, 1825-1905)",Rest,1825,1905,Mod Euro - Painting 1800-1960,Painting,1879
142605,"Robert Rauschenberg (American, 1925-2008)",Gloria,1925,2008,American - Painting,Painting,1956
153382,"Ernest Meissonier (French, 1815-1891)",On a Terrace,1815,1891,Mod Euro - Painting 1800-1960,Painting,1867
127573,"Rembrandt van Rijn (Dutch, 1606-1669)",A Bearded Man Wearing a Hat,1606,1669,P - Netherlandish-Dutch,Painting,c. 1655-1660
117028,"Giovanni Domenico Tiepolo (Italian, 1727-1804)",A Spring Shower,1727,1804,DR - Italian,Drawing,1790s-1804
141207,"Domenichino (Italian, 1581-1641)",Temperance,1581,1641,DR - Italian,Drawing,1628-30
142773,"House of Fabergé (Russian, 1842-1918)",Kremlin Tower Clock,1842,1918,Decorative Arts,Timepiece,c. 1913
172894,"Charles Demuth (American, 1883-1935)",Amaryllis,1883,1935,DR - American 20th Century,Drawing,c. 1923
134873,"Rufino Tamayo (Mexican, 1899-1991)",Self-Portrait,1899,1991,DR - Mexican,Drawing,1927
142723,"Peter Carl Fabergé (Russian, 1846-1920)",Lapis Lazuli Easter Egg,1846,1920,Decorative Arts,Miscellaneous,c. 1885-90
142723,"House of Fabergé (Russian, 1842-1918)",Lapis Lazuli Easter Egg,1842,1918,Decorative Arts,Miscellaneous,c. 1885-90
146147,"Antimenes Painter (Greek, Attic, active c. 530-510 BC)",Black-Figure Dinos (Mixing Vessel): Warships (Int.); Heroic Scenes (Top),,,GR - Greek,Ceramic,c. 520-515 BC
151517,"Peter Paul Rubens (Flemish, 1577-1640)","Study for ""The Bear Hunt"" (for the Alcázar, Madrid)",1577,1640,P - Netherlandish-Flemish,Painting,c. 1639
161789,"Frank Stella (American, b. 1936)",Çatal Hüyük (level VI B) Shrine VI B.1,1936,,CONTEMP - Sculpture,Sculpture,2001
147066,"Pablo Picasso (Spanish, 1881-1973)","Bottle, Glass, Fork",1881,1973,Mod Euro - Painting 1800-1960,Painting,1911–12
135407,"Perugino (Italian, c1450/55-1523)",Saint Sebastian,c1450/55,1523,DR - Italian,Drawing,c. 1493
117767,"Giovanni Battista Piazzetta (Italian, 1682-1754)",A Flying Angel (recto); Studies of Hands Playing Instruments (verso),1682,1754,DR - Italian,Drawing,1723-1727
127561,"William Blake (British, 1757-1827)",The Holy Family (also known as Christ in the Lap of Truth),1757,1827,DR - British,Drawing,c. 1805
125324,"Max Kalish (American, 1891-1945)",The Driller,1891,1945,American - Sculpture,Sculpture,c. 1926
149106,"Salvator Rosa (Italian, 1615-1673)",Scenes of Witchcraft: Day,1615,1673,P - Italian 16th & 17th Century,Painting,c. 1645-1649
307326,"Carlo Maratti (Italian, 1625-1713)",Portrait of Francesca Gommi Maratti,1625,1713,P - Italian 16th & 17th Century,Painting,c. 1701
123024,Master of Santa Chiara (Italian),Processional Cross,,,MED - Renaissance,Painting,c. 1320
141931,"Albrecht Dürer (German, 1471-1528)",Arm of Eve,1471,1528,DR - German,Drawing,1507
142731,"House of Fabergé (Russian, 1842-1918)",Flower Study of a Wild Rose,1842,1918,Decorative Arts,Miscellaneous,c. 1885-1915
