locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country
MU000041254,2019,1,12.83,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,1,23.4,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,1,22.4,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,1,21.5,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,1,20.8,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,1,22.15,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,1,21.2,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,1,21.8,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,1,21.0,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,1,22.4,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,1,22.1,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,1,23.65,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,1,20.83,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,1,20.95,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,1,21.6,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,1,21.35,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,1,23.04,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,1,23.6,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,1,21.75,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,1,20.92,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,1,24.5,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,1,20.5,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,1,,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,1,24.2,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,2,12.1,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,2,23.8,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,2,21.4,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,2,20.8,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,2,19.9,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,2,21.65,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,2,20.8,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,2,21.25,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,2,21.1,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,2,22.25,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,2,21.75,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,2,23.1,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,2,21.35,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,2,20.55,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,2,21.81,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,2,21.3,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,2,22.95,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,2,23.45,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,2,22.65,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,2,22.69,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,2,25.4,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,2,22.75,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,2,19.15,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,2,25.4,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,3,14.14,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,3,25.15,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,3,23.0,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,3,22.4,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,3,22.4,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,3,22.75,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,3,23.54,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,3,23.4,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,3,23.9,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,3,23.7,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,3,24.55,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,3,24.2,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,3,23.98,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,3,23.4,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,3,,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,3,23.95,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,3,24.44,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,3,25.85,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,3,24.8,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,3,25.02,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,3,26.45,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,3,25.25,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,3,21.05,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,3,26.75,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,4,19.05,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,4,29.8,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,4,29.8,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,4,27.6,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,4,28.85,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,4,28.15,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,4,29.75,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,4,30.1,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,4,29.3,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,4,29.7,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,4,30.6,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,4,29.55,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,4,29.64,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,4,29.1,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,4,,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,4,29.2,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,4,29.34,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,4,31.95,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,4,29.7,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,4,28.58,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,4,28.15,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,4,28.15,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,4,23.95,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,4,28.8,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,5,21.75,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,5,31.95,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,5,33.8,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,5,32.25,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,5,33.25,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,5,32.15,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,5,33.55,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,5,33.75,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,5,32.4,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,5,33.75,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,5,33.4,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,5,32.9,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,5,33.79,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,5,,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,5,33.49,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,5,32.25,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,5,32.6,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,5,34.95,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,5,32.8,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,5,32.53,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,5,29.8,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,5,31.85,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,5,26.0,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,5,30.6,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,6,26.2,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,6,31.5,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,6,37.5,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,6,35.0,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,6,38.15,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,6,34.6,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,6,38.39,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,6,37.45,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,6,36.4,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,6,36.05,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,6,38.2,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,6,34.7,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,6,,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,6,36.45,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,6,,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,6,36.05,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,6,,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,6,37.35,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,6,33.6,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,6,,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,6,30.05,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,6,33.85,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,6,26.1,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,6,30.95,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,7,26.15,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,7,29.1,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,7,,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,7,34.2,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,7,37.0,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,7,33.15,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,7,36.9,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,7,36.6,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,7,35.45,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,7,32.9,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,7,,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,7,,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,7,,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,7,,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,7,,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,7,34.6,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,7,,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,7,34.4,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,7,31.45,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,7,,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,7,,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,7,32.7,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,7,,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,7,27.5,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,8,,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,8,,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,8,,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,8,33.7,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,8,37.4,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,8,33.7,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,8,37.15,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,8,35.85,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,8,35.65,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,8,32.25,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,8,,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,8,,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,8,,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,8,,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,8,,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,8,35.05,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,8,,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,8,34.4,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,8,30.95,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,8,,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,8,,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,8,,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,8,,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,8,26.55,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,9,,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,9,,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,9,,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,9,32.6,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,9,35.95,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,9,33.03,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,9,35.4,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,9,34.6,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,9,33.4,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,9,31.9,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,9,,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,9,,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,9,,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,9,,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,9,,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,9,33.2,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,9,,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,9,33.85,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,9,30.0,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,9,,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,9,,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,9,,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,9,,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,9,28.0,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,10,,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,10,,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,10,,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,10,29.5,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,10,31.35,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,10,30.3,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,10,31.2,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,10,30.05,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,10,29.25,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,10,29.87,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,10,,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,10,,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,10,,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,10,,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,10,,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,10,29.25,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,10,,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,10,29.55,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,10,29.35,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,10,,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,10,,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,10,,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,10,,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,10,28.35,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,11,,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,11,,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,11,,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,11,23.85,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,11,24.0,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,11,24.75,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,11,24.5,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,11,23.75,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,11,23.75,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,11,25.2,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,11,,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,11,,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,11,,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,11,,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,11,,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,11,24.0,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,11,,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,11,25.95,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,11,25.55,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,11,,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,11,,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,11,,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,11,,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,11,27.55,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,12,,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,12,,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,12,,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,12,21.9,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,12,21.35,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,12,22.79,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,12,21.67,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,12,21.2,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,12,20.75,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,12,22.7,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,12,,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,12,,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,12,,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,12,,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,12,,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,12,21.4,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,12,,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,12,23.65,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,12,23.25,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,12,,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,12,,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,12,,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,12,,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,12,26.45,17.039,54.091,22.3,SALALAH,MU,Oman
